simulation_id,time,action,state,expected_value
aaaa,1,A_dependent,s1,12.17516600619858
aaaa,1,A_dependent,s2,14.916366031687211
aaaa,1,A_dependent,s3,19.539646797000003
aaaa,1,A_independent,s1,13.026431198000001
aaaa,1,A_independent,s2,14.513779279985789
aaaa,1,A_independent,s3,18.539646797000003
aaaa,2,A_dependent,s1,11.378260160998247
aaaa,2,A_dependent,s2,13.904199199984209
aaaa,2,A_dependent,s3,18.377385330000003
aaaa,2,A_independent,s1,12.25159022
aaaa,2,A_independent,s2,13.518289629982453
aaaa,2,A_independent,s3,17.377385330000003
aaaa,3,A_dependent,s1,10.494868133207712
aaaa,3,A_dependent,s2,12.798099588869393
aaaa,3,A_dependent,s3,17.0859837
aaaa,3,A_independent,s1,11.390655800000001
aaaa,3,A_independent,s2,12.432779132077103
aaaa,3,A_independent,s3,16.0859837
aaaa,4,A_dependent,s1,9.515863301491
aaaa,4,A_dependent,s2,11.591976813419002
aaaa,4,A_dependent,s3,15.651093000000001
aaaa,4,A_independent,s1,10.434062
aaaa,4,A_independent,s2,11.252075014910002
aaaa,4,A_independent,s3,14.651093000000001
aaaa,5,A_dependent,s1,8.4312182611
aaaa,5,A_dependent,s2,10.280083349900002
aaaa,5,A_dependent,s3,14.056770000000002
aaaa,5,A_independent,s1,9.37118
aaaa,5,A_independent,s2,9.971562611000001
aaaa,5,A_independent,s3,13.056770000000002
aaaa,6,A_dependent,s1,7.22993131
aaaa,6,A_dependent,s2,8.857291790000001
aaaa,6,A_dependent,s3,12.285300000000001
aaaa,6,A_independent,s1,8.1902
aaaa,6,A_independent,s2,8.5875131
aaaa,6,A_independent,s3,11.285300000000001
aaaa,7,A_dependent,s1,5.899951000000001
aaaa,7,A_dependent,s2,7.319459
aaaa,7,A_dependent,s3,10.317
aaaa,7,A_independent,s1,6.878
aaaa,7,A_independent,s2,7.097510000000001
aaaa,7,A_independent,s3,9.317
aaaa,8,A_dependent,s1,4.428100000000001
aaaa,8,A_dependent,s2,5.663900000000001
aaaa,8,A_dependent,s3,8.129999999999999
aaaa,8,A_independent,s1,5.42
aaaa,8,A_independent,s2,5.501
aaaa,8,A_independent,s3,7.13
aaaa,9,A_dependent,s1,2.8
aaaa,9,A_dependent,s2,3.89
aaaa,9,A_dependent,s3,5.7
aaaa,9,A_independent,s1,3.8
aaaa,9,A_independent,s2,3.8
aaaa,9,A_independent,s3,4.7
aaaa,10,A_dependent,s1,1.0
aaaa,10,A_dependent,s2,2.0
aaaa,10,A_dependent,s3,3.0
aaaa,10,A_independent,s1,2.0
aaaa,10,A_independent,s2,2.0
aaaa,10,A_independent,s3,2.0
a66,1,A_dependent,s1,16.363701887513237
a66,1,A_dependent,s2,18.44074569813722
a66,1,A_dependent,s3,19.539646797000003
a66,1,A_independent,s1,15.681296599782804
a66,1,A_independent,s2,17.55063580837217
a66,1,A_independent,s3,18.539646797000003
a66,2,A_dependent,s1,15.201440666425338
a66,2,A_dependent,s2,17.278484231524637
a66,2,A_dependent,s3,18.377385330000003
a66,2,A_independent,s1,14.519037557035956
a66,2,A_independent,s2,16.388374345246383
a66,2,A_independent,s3,17.377385330000003
a66,3,A_dependent,s1,13.910041730039952
a66,3,A_dependent,s2,15.987082605829313
a66,3,A_dependent,s3,17.0859837
a66,3,A_independent,s1,13.227662475761601
a66,3,A_independent,s2,15.096972758293102
a66,3,A_independent,s3,16.0859837
a66,4,A_dependent,s1,12.475180528624001
a66,4,A_dependent,s2,14.552191953659003
a66,4,A_dependent,s3,15.651093000000001
a66,4,A_independent,s1,11.793062456930002
a66,4,A_independent,s2,13.662082536590002
a66,4,A_independent,s3,14.651093000000001
a66,5,A_dependent,s1,10.881180507700002
a66,5,A_dependent,s2,12.957869485100002
a66,5,A_dependent,s3,14.056770000000002
a66,5,A_independent,s1,10.201921418
a66,5,A_independent,s2,12.067764851000002
a66,5,A_independent,s3,13.056770000000002
a66,6,A_dependent,s1,9.11324602
a66,6,A_dependent,s2,11.186405390000001
a66,6,A_dependent,s3,12.285300000000001
a66,6,A_independent,s1,8.4652751
a66,6,A_independent,s2,10.2963539
a66,6,A_independent,s3,11.285300000000001
a66,7,A_dependent,s1,7.183639
a66,7,A_dependent,s2,9.218171
a66,7,A_dependent,s3,10.317
a66,7,A_independent,s1,6.878
a66,7,A_independent,s2,8.328710000000001
a66,7,A_independent,s3,9.317
a66,8,A_dependent,s1,5.0761
a66,8,A_dependent,s2,7.0319
a66,8,A_dependent,s3,8.129999999999999
a66,8,A_independent,s1,5.42
a66,8,A_independent,s2,6.149
a66,8,A_independent,s3,7.13
a66,9,A_dependent,s1,2.8
a66,9,A_dependent,s2,4.61
a66,9,A_dependent,s3,5.7
a66,9,A_independent,s1,3.8
a66,9,A_independent,s2,3.8
a66,9,A_independent,s3,4.7
a66,10,A_dependent,s1,1.0
a66,10,A_dependent,s2,2.0
a66,10,A_dependent,s3,3.0
a66,10,A_independent,s1,2.0
a66,10,A_independent,s2,2.0
a66,10,A_independent,s3,2.0
av5,1,A_dependent,s1,16.363701887513237
av5,1,A_dependent,s2,18.44074569813722
av5,1,A_dependent,s3,19.539646797000003
av5,1,A_independent,s1,15.681296599782804
av5,1,A_independent,s2,17.55063580837217
av5,1,A_independent,s3,18.539646797000003
av5,2,A_dependent,s1,15.201440666425338
av5,2,A_dependent,s2,17.278484231524637
