simulation_id,category,field,value
aaaa,simulation,initial_state,s1
aaaa,simulation,simulation_num,10
aaaa,agent,malleability_belief,0.1
aaaa,agent,time_horizon,10
aaaa,agent,discount_rate,0.9
aaaa,environment,state_num,3
aaaa,environment,reward_baseline,2
aaaa,environment,reward_increment,1
aaaa,environment,malleability,0.7
aaaa,environment,session_length,10
a66,simulation,initial_state,s2
a66,simulation,simulation_num,3
a66,agent,malleability_belief,0.9
a66,agent,time_horizon,10
a66,agent,discount_rate,0.9
a66,environment,state_num,3
a66,environment,reward_baseline,2
a66,environment,reward_increment,1
a66,environment,malleability,0.7
a66,environment,session_length,10
av5,simulation,initial_state,s3
av5,simulation,simulation_num,10
av5,agent,malleability_belief,0.9
av5,agent,time_horizon,10
av5,agent,discount_rate,0.9
av5,environment,state_num,3
av5,environment,reward_baseline,2
av5,environment,reward_increment,1
av5,environment,malleability,0.7
av5,environment,session_length,10
